Respondent_Serial,NPS2
70746,good service.
70747,poor service
70749,
70754,too expensive
70757,
70759,"I have no problems with Centurylink, I get what I pay for!"
70762,reliable service
70763,
70764,Good customer service and competitive pricing
70765,Cheaper for the bundle
70773,
70783,think Verizon fios better
70785,just  how I feel
70786,Like this cable service better than any others out there
70788,do not recommend
70789,Wifi service is terrible
70791,
70799,"Good quality signal, good channel options"
70806,
70807,
70812,Willing to work well with the customers
70814,I like what I have now but not the price
70815,It serve the need for the internet.
70816,I have had good phone and internet service
70817,I don't have direct tv
70818,
70821,good service
70822,poor service after they merge.
70823,I don't know anything about them I was very surprised that we were sluffed off to them and may look for another provider
70825,
70831,
70834,no difference in competition; price matters
70840,reliability
70841,
70842,
70845,they provide good reliable service
70850,very good
70852,
70855,"We've been with Infinity for about 6 months, and have found them to head and shoulders above the other company (WOW) available in this area. I think their internet speed is a little slower, however."
70859,very long time custom with very few problems. when a problem arose they were quick to make repairs
70860,I don't like to recommend any thing to anyone.  What works for me might not work for them.  I do not want to be responsible if service for them is unacceptable.
70861,"we live in a very remote area, and At&tDirect TV, is able to give us a good service."
70871,"No data caps.  The service isn't the fastest, but no caps means higher speed is more affordable."
70872,
70874,continuous service and good tech support
70878,
70880,Convenience of one bill for three items and lower costs.
70882,
70884,Service is so slow
70887,"I live on an Island of 4,500 people and the we have very few cell towers available, so the service is terrible.  There are very few places that a cell phone can be used, and the service from CenturyLink is terrible.  But we have very little choice."
70890,Wifi service does not work in my home.  Customer service and tech support are awful.
70891,They aren't the best but they aren't the worse
70893,Excellent service and package
70894,I feel their service is good and rarely have any interruption of services
70899,"In general their service is good, but it's not perfect.  There are occasional unexplained outages, and they keep increasing their prices."
70902,
70904,price and convenience
70905,Nnj
70907,
70911,to expensive
70926,good service and good customer service
70931,"For home phone, reliable service and competitive pricing.  For DirecTV (which I used to have), reliable service, good selection of channels but expensive"
70932,
70937,
70941,I am satisfied with their service.
70947,THEY ARE THE BEST.
70948,Brighthouse is good
70959,prices go up to much!
